"University of Horticultural Sciences, Bagalkot",Karnataka,Bagalkot,http://uhsbagalkot.edu.in/
Alliance University,Karnataka,Bangalore,http://alliance.edu.in/
Azim Premji University,Karnataka,Bangalore,http://azimpremjiuniversity.edu.in
PES University,Karnataka,Bangalore,http://www.pes.edu
M S Ramaiah University of Applied Sciences,Karnataka,Bangalore,http://www.msruas.ac.in
Indian Institute of Science,Karnataka,Bangalore,http://www.iisc.ernet.in/
Manipal Academy of Higher Education,Karnataka,Manipal,http://www.manipal.edu
Christ University,Karnataka,Bangalore,http://www.christuniversity.in
Jagadguru Sri Shivarathreeshwara University,Karnataka,Mysore,http://www.jssuni.edu.in
National Institute of Mental Health and Neuro Sciences,Karnataka,Bangalore,http://nimhans.ac.in/nimhans/
Sri Siddhartha Academy of Higher Education,Karnataka,Tumkur,http://www.sahe.in
Jain University,Karnataka,Bangalore,http://www.jainuniversity.ac.in/
Yenepoya University,Karnataka,Mangalore,http://www.yenepoya.edu.in/
"International Institute of Information Technology, Bangalore",Karnataka,Bangalore,http://www.iiitb.ac.in
Indian Institute of Astrophysics,Karnataka,Bangalore,http://www.iiap.res.in
Indian Institute of Management Bangalore,Karnataka,Bangalore,http://www.iimb.ernet.in
National Institute of Technology Surathkal,Karnataka,Surathkal,http://www.nitk.ac.in/
Central University of Kerala,Kerala,Kasaragod,http://www.cukerala.ac.in/
Cochin University of Science and Technology,Kerala,Ernakulam,http://www.cusat.ac.in
Kannur University,Kerala,Kannur,http://www.kannuruniversity.ac.in
Kerala Agricultural University,Kerala,Thrissur,http://www.kau.edu
Kerala University of Fisheries and Ocean Studies,Kerala,Kochi,http://www.kufos.ac.in/
Kerala University of Health Sciences,Kerala,Thrissur,http://kuhs.ac.in
Kerala Veterinary and Animal Sciences University,Kerala,Wayanad,http://www.kvasu.ac.in/
Mahatma Gandhi University,Kerala,Kottayam,http://www.mgu.ac.in
Sree Sankaracharya University of Sanskrit,Kerala,Kalady,http://ssus.ac.in/
University of Calicut,Kerala,Malappuram,http://www.universityofcalicut.info
University of Kerala,Kerala,Trivandrum,http://www.keralauniversity.ac.in/
National University of Advanced Legal Studies,Kerala,Kochi,http://www.nuals.ac.in/
Thunchath Ezhuthachan Malayalam University,Kerala,Malappuram,http://malayalamuniversity.edu.in/
